drugs_name,drugs_slug,diseases_name,diseases_slug,createdAt,updatedAt
Restasis,restasis,Keratoconjunctivitis Sicca,keratoconjunctivitis-sicca,2022/05/25 14:48:28,2022/05/25 14:48:28
Depo-Provera,depo-provera,Birth Control,birth-control,2022/05/25 14:48:28,2022/05/25 14:48:28
Olanzapine,olanzapine,Bipolar Disorde,bipolar-disorde,2022/05/25 14:48:28,2022/05/25 14:48:28
Oxytrol,oxytrol,Overactive Bladde,overactive-bladde,2022/05/25 14:48:28,2022/05/25 14:48:28
Fentanyl,fentanyl,Breakthrough Pain,breakthrough-pain,2022/05/25 14:48:28,2022/05/25 14:48:28
Epiduo,epiduo,Acne,acne,2022/05/25 14:48:28,2022/05/25 14:48:28
Accutane,accutane,Acne,acne,2022/05/25 14:48:28,2022/05/25 14:48:28
Xanax,xanax,Panic Disorde,panic-disorde,2022/05/25 14:48:28,2022/05/25 14:48:28
Desvenlafaxine,desvenlafaxine,Depression,depression,2022/05/25 14:48:28,2022/05/25 14:48:28
Keppra,keppra,Seizures,seizures,2022/05/25 14:48:28,2022/05/25 14:48:28
Morphine,morphine,Chronic Pain,chronic-pain,2022/05/25 14:48:28,2022/05/25 14:48:28
Lyrica,lyrica,Neuropathic Pain,neuropathic-pain,2022/05/25 14:48:28,2022/05/25 14:48:28
Fluoxetine,fluoxetine,Depression,depression,2022/05/25 14:48:28,2022/05/25 14:48:28
Phenergan,phenergan,Sedation,sedation,2022/05/25 14:48:28,2022/05/25 14:48:28
Bupropion,bupropion,Depression,depression,2022/05/25 14:48:28,2022/05/25 14:48:28
Ethinyl estradiol / norgestimate,ethinyl-estradiol-norgestimate,Birth Control,birth-control,2022/05/25 14:48:28,2022/05/25 14:48:28
Loestrin 21 1 / 20,loestrin-21-1-20,Menstrual Disorders,menstrual-disorders,2022/05/25 14:48:28,2022/05/25 14:48:28
Tamsulosin,tamsulosin,Benign Prostatic Hyperplasia,benign-prostatic-hyperplasia,2022/05/25 14:48:28,2022/05/25 14:48:28
Loratadine,loratadine,Allergic Rhinitis,allergic-rhinitis,2022/05/25 14:48:28,2022/05/25 14:48:28
Cardura XL,cardura-xl,Benign Prostatic Hyperplasia,benign-prostatic-hyperplasia,2022/05/25 14:48:28,2022/05/25 14:48:28
Viibryd,viibryd,Major Depressive Disorde,major-depressive-disorde,2022/05/25 14:48:28,2022/05/25 14:48:28
Mirena,mirena,Birth Control,birth-control,2022/05/25 14:48:28,2022/05/25 14:48:28
Ethinyl estradiol / norelgestromin,ethinyl-estradiol-norelgestromin,Birth Control,birth-control,2022/05/25 14:48:28,2022/05/25 14:48:28
Propofol,propofol,Anesthesia,anesthesia,2022/05/25 14:48:28,2022/05/25 14:48:28
Camphor / menthol,camphor-menthol,Pain,pain,2022/05/25 14:48:28,2022/05/25 14:48:28
Hydroxychloroquine,hydroxychloroquine,Undifferentiated Connective Tissue Disease,undifferentiated-connective-tissue-disease,2022/05/25 14:48:28,2022/05/25 14:48:28
Lorcaserin,lorcaserin,Obesity,obesity,2022/05/25 14:48:28,2022/05/25 14:48:28
Insulin degludec,insulin-degludec,"Diabetes, Type 1",diabetes-type-1,2022/05/25 14:48:28,2022/05/25 14:48:28
Trintellix,trintellix,Depression,depression,2022/05/25 14:48:28,2022/05/25 14:48:28
Lupron Depot,lupron-depot,Endometriosis,endometriosis,2022/05/25 14:48:28,2022/05/25 14:48:28
Zanaflex,zanaflex,Muscle Spasm,muscle-spasm,2022/05/25 14:48:28,2022/05/25 14:48:28
Miconazole,miconazole,Vaginal Yeast Infection,vaginal-yeast-infection,2022/05/25 14:48:28,2022/05/25 14:48:28
Opana ER,opana-er,Pain,pain,2022/05/25 14:48:28,2022/05/25 14:48:28
Provera,provera,Abnormal Uterine Bleeding,abnormal-uterine-bleeding,2022/05/25 14:48:28,2022/05/25 14:48:28
Lurasidone,lurasidone,Bipolar Disorde,bipolar-disorde,2022/05/25 14:48:28,2022/05/25 14:48:28
Phentermine / topiramate,phentermine-topiramate,Weight Loss,weight-loss,2022/05/25 14:48:28,2022/05/25 14:48:28
Linaclotide,linaclotide,"Constipation, Chronic",constipation-chronic,2022/05/25 14:48:28,2022/05/25 14:48:28
Diflucan,diflucan,Vaginal Yeast Infection,vaginal-yeast-infection,2022/05/25 14:48:28,2022/05/25 14:48:28
Ibrance,ibrance,"Breast Cancer, Metastatic",breast-cancer-metastatic,2022/05/25 14:48:28,2022/05/25 14:48:28
Liraglutide,liraglutide,"Diabetes, Type 2",diabetes-type-2,2022/05/25 14:48:28,2022/05/25 14:48:28
Reclipsen,reclipsen,Birth Control,birth-control,2022/05/25 14:48:28,2022/05/25 14:48:28
Lisinopril,lisinopril,High Blood Pressure,high-blood-pressure,2022/05/25 14:48:28,2022/05/25 14:48:28
Empagliflozin,empagliflozin,"Diabetes, Type 2",diabetes-type-2,2022/05/25 14:48:28,2022/05/25 14:48:28
Naproxen,naproxen,Period Pain,period-pain,2022/05/25 14:48:28,2022/05/25 14:48:28
Amoxicillin / clarithromycin / lansoprazole,amoxicillin-clarithromycin-lansoprazole,Helicobacter Pylori Infection,helicobacter-pylori-infection,2022/05/25 14:48:28,2022/05/25 14:48:28
Metoprolol,metoprolol,Atrial Fibrillation,atrial-fibrillation,2022/05/25 14:48:28,2022/05/25 14:48:28
Naloxegol,naloxegol,"Constipation, Drug Induced",constipation-drug-induced,2022/05/25 14:48:28,2022/05/25 14:48:28
Alprazolam,alprazolam,Anxiety,anxiety,2022/05/25 14:48:28,2022/05/25 14:48:28
Skyla,skyla,Birth Control,birth-control,2022/05/25 14:48:28,2022/05/25 14:48:28
Leuprolide,leuprolide,Uterine Fibroids,uterine-fibroids,2022/05/25 14:48:28,2022/05/25 14:48:28
Provera,provera,4</span> users found this comment helpful.,4-span-users-found-this-comment-helpful-,2022/05/25 14:48:28,2022/05/25 14:48:28
Ulipristal,ulipristal,Emergency Contraception,emergency-contraception,2022/05/25 14:48:28,2022/05/25 14:48:28
Benzonatate,benzonatate,Cough,cough,2022/05/25 14:48:28,2022/05/25 14:48:28
Sulfamethoxazole / trimethoprim,sulfamethoxazole-trimethoprim,Kidney Infections,kidney-infections,2022/05/25 14:48:28,2022/05/25 14:48:28
Eletriptan,eletriptan,Migraine,migraine,2022/05/25 14:48:28,2022/05/25 14:48:28
Escitalopram,escitalopram,Generalized Anxiety Disorde,generalized-anxiety-disorde,2022/05/25 14:48:28,2022/05/25 14:48:28
Dulera,dulera,Asthma,asthma,2022/05/25 14:48:28,2022/05/25 14:48:28
Metoprolol,metoprolol,High Blood Pressure,high-blood-pressure,2022/05/25 14:48:28,2022/05/25 14:48:28
Prempro,prempro,Postmenopausal Symptoms,postmenopausal-symptoms,2022/05/25 14:48:28,2022/05/25 14:48:28
Gemfibrozil,gemfibrozil,High Cholesterol,high-cholesterol,2022/05/25 14:48:28,2022/05/25 14:48:28
Depakote,depakote,Bipolar Disorde,bipolar-disorde,2022/05/25 14:48:28,2022/05/25 14:48:28
Testosterone,testosterone,"Hypogonadism, Male",hypogonadism-male,2022/05/25 14:48:28,2022/05/25 14:48:28
Zomig,zomig,Migraine,migraine,2022/05/25 14:48:28,2022/05/25 14:48:28
Vyvanse,vyvanse,ADHD,adhd,2022/05/25 14:48:28,2022/05/25 14:48:28
Medroxyprogesterone,medroxyprogesterone,Abnormal Uterine Bleeding,abnormal-uterine-bleeding,2022/05/25 14:48:28,2022/05/25 14:48:28
Solodyn,solodyn,Acne,acne,2022/05/25 14:48:28,2022/05/25 14:48:28
Efavirenz / emtricitabine / tenofovir,efavirenz-emtricitabine-tenofovir,HIV Infection,hiv-infection,2022/05/25 14:48:28,2022/05/25 14:48:28
Methimazole,methimazole,Hyperthyroidism,hyperthyroidism,2022/05/25 14:48:28,2022/05/25 14:48:28
Ortho Tri-Cyclen,ortho-tri-cyclen,Birth Control,birth-control,2022/05/25 14:48:28,2022/05/25 14:48:28
Aleve,aleve,Back Pain,back-pain,2022/05/25 14:48:28,2022/05/25 14:48:28
Tylenol with Codeine #3,tylenol-with-codeine-3,Cough,cough,2022/05/25 14:48:28,2022/05/25 14:48:28
Victoza,victoza,"Diabetes, Type 2",diabetes-type-2,2022/05/25 14:48:28,2022/05/25 14:48:28
Lubiprostone,lubiprostone,Irritable Bowel Syndrome,irritable-bowel-syndrome,2022/05/25 14:48:28,2022/05/25 14:48:28
Ethinyl estradiol / norethindrone,ethinyl-estradiol-norethindrone,Birth Control,birth-control,2022/05/25 14:48:28,2022/05/25 14:48:28
Sovaldi,sovaldi,Hepatitis C,hepatitis-c,2022/05/25 14:48:28,2022/05/25 14:48:28
Trazodone,trazodone,Depression,depression,2022/05/25 14:48:28,2022/05/25 14:48:28
Pristiq,pristiq,Depression,depression,2022/05/25 14:48:28,2022/05/25 14:48:28
Temozolomide,temozolomide,Anaplastic Oligodendroglioma,anaplastic-oligodendroglioma,2022/05/25 14:48:28,2022/05/25 14:48:28
Nabumetone,nabumetone,Rheumatoid Arthritis,rheumatoid-arthritis,2022/05/25 14:48:28,2022/05/25 14:48:28
Meloxicam,meloxicam,Osteoarthritis,osteoarthritis,2022/05/25 14:48:28,2022/05/25 14:48:28
Cevimeline,cevimeline,Sjogren's Syndrome,sjogren-s-syndrome,2022/05/25 14:48:28,2022/05/25 14:48:28
ProAir RespiClick,proair-respiclick,"Asthma, acute",asthma-acute,2022/05/25 14:48:28,2022/05/25 14:48:28
Gabapentin,gabapentin,Hot Flashes,hot-flashes,2022/05/25 14:48:28,2022/05/25 14:48:28
Relpax,relpax,Migraine,migraine,2022/05/25 14:48:28,2022/05/25 14:48:28
Levomilnacipran,levomilnacipran,Depression,depression,2022/05/25 14:48:28,2022/05/25 14:48:28
Yaz,yaz,3</span> users found this comment helpful.,3-span-users-found-this-comment-helpful-,2022/05/25 14:48:28,2022/05/25 14:48:28
Valtrex,valtrex,"Herpes Simplex, Suppression",herpes-simplex-suppression,2022/05/25 14:48:28,2022/05/25 14:48:28
Clindamycin,clindamycin,Bacterial Infection,bacterial-infection,2022/05/25 14:48:28,2022/05/25 14:48:28
BuSpar,buspar,Anxiety,anxiety,2022/05/25 14:48:28,2022/05/25 14:48:28
Plan B,plan-b,Emergency Contraception,emergency-contraception,2022/05/25 14:48:28,2022/05/25 14:48:28
Trolamine salicylate,trolamine-salicylate,Bursitis,bursitis,2022/05/25 14:48:28,2022/05/25 14:48:28
Lisdexamfetamine,lisdexamfetamine,ADHD,adhd,2022/05/25 14:48:28,2022/05/25 14:48:28
Escitalopram,escitalopram,Anxiety,anxiety,2022/05/25 14:48:28,2022/05/25 14:48:28
Gabapentin,gabapentin,Pain,pain,2022/05/25 14:48:28,2022/05/25 14:48:28
Qsymia,qsymia,Weight Loss,weight-loss,2022/05/25 14:48:28,2022/05/25 14:48:28
Rizatriptan,rizatriptan,Migraine,migraine,2022/05/25 14:48:28,2022/05/25 14:48:28
Ziana,ziana,Acne,acne,2022/05/25 14:48:28,2022/05/25 14:48:28
Boudreaux Butt Paste,boudreaux-butt-paste,Diaper Rash,diaper-rash,2022/05/25 14:48:28,2022/05/25 14:48:28
Cymbalta,cymbalta,Depression,depression,2022/05/25 14:48:28,2022/05/25 14:48:28
Zoloft,zoloft,Panic Disorde,panic-disorde,2022/05/25 14:48:28,2022/05/25 14:48:28
Tizanidine,tizanidine,Muscle Spasm,muscle-spasm,2022/05/25 14:48:28,2022/05/25 14:48:28
Loestrin 24 Fe,loestrin-24-fe,4</span> users found this comment helpful.,4-span-users-found-this-comment-helpful-,2022/05/25 14:48:28,2022/05/25 14:48:28
Gastrocrom,gastrocrom,Systemic Mastocytosis,systemic-mastocytosis,2022/05/25 14:48:28,2022/05/25 14:48:28
Seasonique,seasonique,Birth Control,birth-control,2022/05/25 14:48:28,2022/05/25 14:48:28
Amphetamine / dextroamphetamine,amphetamine-dextroamphetamine,ADHD,adhd,2022/05/25 14:48:28,2022/05/25 14:48:28
Liletta,liletta,Birth Control,birth-control,2022/05/25 14:48:28,2022/05/25 14:48:28
Exenatide,exenatide,"Diabetes, Type 2",diabetes-type-2,2022/05/25 14:48:28,2022/05/25 14:48:28
Paroxetine,paroxetine,Trichotillomania,trichotillomania,2022/05/25 14:48:28,2022/05/25 14:48:28
Venlafaxine,venlafaxine,Irritable Bowel Syndrome,irritable-bowel-syndrome,2022/05/25 14:48:28,2022/05/25 14:48:28
Amitiza,amitiza,Irritable Bowel Syndrome,irritable-bowel-syndrome,2022/05/25 14:48:28,2022/05/25 14:48:28
Bontril Slow Release,bontril-slow-release,Obesity,obesity,2022/05/25 14:48:28,2022/05/25 14:48:28
Levothroid,levothroid,Hashimoto's disease,hashimoto-s-disease,2022/05/25 14:48:28,2022/05/25 14:48:28
Carbamazepine,carbamazepine,Epilepsy,epilepsy,2022/05/25 14:48:28,2022/05/25 14:48:28
Doxycycline,doxycycline,Acne,acne,2022/05/25 14:48:28,2022/05/25 14:48:28
Adipex-P,adipex-p,Weight Loss,weight-loss,2022/05/25 14:48:28,2022/05/25 14:48:28
Bydureon,bydureon,"Diabetes, Type 2",diabetes-type-2,2022/05/25 14:48:28,2022/05/25 14:48:28
Bupropion / naltrexone,bupropion-naltrexone,Obesity,obesity,2022/05/25 14:48:28,2022/05/25 14:48:28
Voltaren-XR,voltaren-xr,Pain,pain,2022/05/25 14:48:28,2022/05/25 14:48:28
Pimecrolimus,pimecrolimus,Eczema,eczema,2022/05/25 14:48:28,2022/05/25 14:48:28
Acetaminophen / oxycodone,acetaminophen-oxycodone,Chronic Pain,chronic-pain,2022/05/25 14:48:28,2022/05/25 14:48:28
Monistat 7,monistat-7,Vaginal Yeast Infection,vaginal-yeast-infection,2022/05/25 14:48:28,2022/05/25 14:48:28
Pramipexole,pramipexole,Restless Legs Syndrome,restless-legs-syndrome,2022/05/25 14:48:28,2022/05/25 14:48:28
AndroGel,androgel,"Hypogonadism, Male",hypogonadism-male,2022/05/25 14:48:28,2022/05/25 14:48:28
Nitrofurantoin,nitrofurantoin,Urinary Tract Infection,urinary-tract-infection,2022/05/25 14:48:28,2022/05/25 14:48:28
Metronidazole,metronidazole,Dental Abscess,dental-abscess,2022/05/25 14:48:28,2022/05/25 14:48:28
Ziprasidone,ziprasidone,Bipolar Disorde,bipolar-disorde,2022/05/25 14:48:28,2022/05/25 14:48:28
Acetaminophen / butalbital / caffeine,acetaminophen-butalbital-caffeine,Headache,headache,2022/05/25 14:48:28,2022/05/25 14:48:28
Medroxyprogesterone,medroxyprogesterone,Birth Control,birth-control,2022/05/25 14:48:28,2022/05/25 14:48:28
Nuvigil,nuvigil,Hypersomnia,hypersomnia,2022/05/25 14:48:28,2022/05/25 14:48:28
